,year,month,day,hour,Temperature (C),day_of_year
43,2006.0,4.0,10.0,19.0,17.800000000000004,100.0
44,2006.0,4.0,10.0,20.0,16.06111111111111,100.0
45,2006.0,4.0,10.0,21.0,15.02222222222222,100.0
46,2006.0,4.0,10.0,22.0,14.422222222222224,100.0
47,2006.0,4.0,10.0,23.0,14.255555555555553,100.0
48,2006.0,4.0,11.0,0.0,13.77222222222222,101.0
49,2006.0,4.0,11.0,1.0,13.283333333333331,101.0
50,2006.0,4.0,11.0,2.0,8.633333333333333,101.0
51,2006.0,4.0,11.0,3.0,11.25,101.0
52,2006.0,4.0,11.0,4.0,11.183333333333334,101.0
53,2006.0,4.0,11.0,5.0,10.694444444444445,101.0
54,2006.0,4.0,11.0,6.0,11.11111111111111,101.0
55,2006.0,4.0,11.0,7.0,11.11111111111111,101.0
56,2006.0,4.0,11.0,8.0,12.166666666666666,101.0
57,2006.0,4.0,11.0,9.0,12.755555555555556,101.0
58,2006.0,4.0,11.0,10.0,13.838888888888889,101.0
59,2006.0,4.0,11.0,11.0,16.183333333333334,101.0
60,2006.0,4.0,11.0,12.0,17.516666666666666,101.0
61,2006.0,4.0,11.0,13.0,17.383333333333333,101.0
62,2006.0,4.0,11.0,14.0,17.36111111111111,101.0
63,2006.0,4.0,11.0,15.0,17.205555555555556,101.0
64,2006.0,4.0,11.0,16.0,15.633333333333333,101.0
65,2006.0,4.0,11.0,17.0,13.577777777777776,101.0
66,2006.0,4.0,11.0,18.0,10.911111111111111,101.0
67,2006.0,4.0,11.0,19.0,8.800000000000002,101.0
68,2006.0,4.0,11.0,20.0,8.961111111111112,101.0
69,2006.0,4.0,11.0,21.0,8.199999999999998,101.0
70,2006.0,4.0,11.0,22.0,7.688888888888891,101.0
71,2006.0,4.0,11.0,23.0,7.766666666666664,101.0
72,2006.0,4.0,12.0,0.0,8.199999999999998,102.0
73,2006.0,4.0,12.0,1.0,8.177777777777777,102.0
74,2006.0,4.0,12.0,2.0,7.311111111111109,102.0
75,2006.0,4.0,12.0,3.0,7.644444444444442,102.0
76,2006.0,4.0,12.0,4.0,6.622222222222224,102.0
77,2006.0,4.0,12.0,5.0,6.683333333333334,102.0
78,2006.0,4.0,12.0,6.0,6.0888888888888895,102.0
79,2006.0,4.0,12.0,7.0,6.066666666666667,102.0
80,2006.0,4.0,12.0,8.0,6.144444444444446,102.0
81,2006.0,4.0,12.0,9.0,7.133333333333336,102.0
82,2006.0,4.0,12.0,10.0,7.205555555555555,102.0
83,2006.0,4.0,12.0,11.0,7.566666666666666,102.0
84,2006.0,4.0,12.0,12.0,8.900000000000002,102.0
85,2006.0,4.0,12.0,13.0,9.961111111111112,102.0
86,2006.0,4.0,12.0,14.0,9.888888888888888,102.0
87,2006.0,4.0,12.0,15.0,11.066666666666668,102.0
88,2006.0,4.0,12.0,16.0,10.116666666666667,102.0
89,2006.0,4.0,12.0,17.0,11.038888888888888,102.0
90,2006.0,4.0,12.0,18.0,10.65,102.0
91,2006.0,4.0,12.0,19.0,10.050000000000002,102.0
92,2006.0,4.0,12.0,20.0,9.9,102.0
93,2006.0,4.0,12.0,21.0,8.794444444444444,102.0
94,2006.0,4.0,12.0,22.0,7.827777777777779,102.0
95,2006.0,4.0,12.0,23.0,7.855555555555556,102.0
96,2006.0,4.0,13.0,0.0,7.316666666666667,103.0
97,2006.0,4.0,13.0,1.0,7.244444444444444,103.0
98,2006.0,4.0,13.0,2.0,5.438888888888888,103.0
99,2006.0,4.0,13.0,3.0,7.200000000000001,103.0
100,2006.0,4.0,13.0,4.0,6.688888888888888,103.0
101,2006.0,4.0,13.0,5.0,6.211111111111111,103.0
102,2006.0,4.0,13.0,6.0,6.111111111111111,103.0
103,2006.0,4.0,13.0,7.0,6.111111111111111,103.0
104,2006.0,4.0,13.0,8.0,6.172222222222222,103.0
105,2006.0,4.0,13.0,9.0,7.222222222222222,103.0
106,2006.0,4.0,13.0,10.0,7.288888888888888,103.0
107,2006.0,4.0,13.0,11.0,7.405555555555555,103.0
108,2006.0,4.0,13.0,12.0,7.96111111111111,103.0
109,2006.0,4.0,13.0,13.0,8.033333333333335,103.0
110,2006.0,4.0,13.0,14.0,9.07777777777778,103.0
111,2006.0,4.0,13.0,15.0,9.05,103.0
112,2006.0,4.0,13.0,16.0,9.05,103.0
113,2006.0,4.0,13.0,17.0,9.183333333333334,103.0
114,2006.0,4.0,13.0,18.0,9.07222222222222,103.0
115,2006.0,4.0,13.0,19.0,7.983333333333332,103.0
116,2006.0,4.0,13.0,20.0,8.072222222222223,103.0
117,2006.0,4.0,13.0,21.0,7.894444444444446,103.0
118,2006.0,4.0,13.0,22.0,7.311111111111109,103.0
119,2006.0,4.0,13.0,23.0,7.33888888888889,103.0
120,2006.0,4.0,14.0,0.0,6.622222222222224,104.0
121,2006.0,4.0,14.0,1.0,6.066666666666667,104.0
122,2006.0,4.0,14.0,2.0,8.338888888888887,104.0
123,2006.0,4.0,14.0,3.0,5.183333333333333,104.0
124,2006.0,4.0,14.0,4.0,3.722222222222224,104.0
125,2006.0,4.0,14.0,5.0,4.855555555555557,104.0
126,2006.0,4.0,14.0,6.0,5.211111111111112,104.0
127,2006.0,4.0,14.0,7.0,6.255555555555555,104.0
128,2006.0,4.0,14.0,8.0,7.794444444444445,104.0
129,2006.0,4.0,14.0,9.0,10.050000000000002,104.0
130,2006.0,4.0,14.0,10.0,12.2,104.0
131,2006.0,4.0,14.0,11.0,12.7,104.0
132,2006.0,4.0,14.0,12.0,13.933333333333332,104.0
133,2006.0,4.0,14.0,13.0,15.094444444444449,104.0
134,2006.0,4.0,14.0,14.0,15.150000000000002,104.0
135,2006.0,4.0,14.0,15.0,16.177777777777777,104.0
136,2006.0,4.0,14.0,16.0,16.25,104.0
137,2006.0,4.0,14.0,17.0,16.29444444444444,104.0
138,2006.0,4.0,14.0,18.0,16.099999999999998,104.0
139,2006.0,4.0,14.0,19.0,12.955555555555556,104.0
140,2006.0,4.0,14.0,20.0,13.85,104.0
141,2006.0,4.0,14.0,21.0,12.77777777777778,104.0
142,2006.0,4.0,14.0,22.0,12.15,104.0
143,2006.0,4.0,14.0,23.0,10.677777777777775,104.0
144,2006.0,4.0,15.0,0.0,10.444444444444445,105.0
145,2006.0,4.0,15.0,1.0,9.822222222222225,105.0
146,2006.0,4.0,15.0,2.0,11.02777777777778,105.0
147,2006.0,4.0,15.0,3.0,7.138888888888889,105.0
148,2006.0,4.0,15.0,4.0,7.622222222222222,105.0
149,2006.0,4.0,15.0,5.0,7.627777777777775,105.0
150,2006.0,4.0,15.0,6.0,7.044444444444444,105.0
151,2006.0,4.0,15.0,7.0,8.599999999999998,105.0
152,2006.0,4.0,15.0,8.0,9.65,105.0
153,2006.0,4.0,15.0,9.0,12.105555555555554,105.0
154,2006.0,4.0,15.0,10.0,12.77777777777778,105.0
155,2006.0,4.0,15.0,11.0,13.81111111111111,105.0
156,2006.0,4.0,15.0,12.0,16.016666666666666,105.0
157,2006.0,4.0,15.0,13.0,17.127777777777776,105.0
158,2006.0,4.0,15.0,14.0,17.144444444444446,105.0
159,2006.0,4.0,15.0,15.0,17.77777777777778,105.0
160,2006.0,4.0,15.0,16.0,17.77777777777778,105.0
161,2006.0,4.0,15.0,17.0,17.805555555555557,105.0
162,2006.0,4.0,15.0,18.0,16.15555555555555,105.0
163,2006.0,4.0,15.0,19.0,14.05,105.0
164,2006.0,4.0,15.0,20.0,13.08888888888889,105.0
165,2006.0,4.0,15.0,21.0,12.288888888888888,105.0
166,2006.0,4.0,15.0,22.0,12.77777777777778,105.0
167,2006.0,4.0,15.0,23.0,12.727777777777776,105.0
168,2006.0,4.0,16.0,0.0,12.266666666666666,106.0
169,2006.0,4.0,16.0,1.0,11.71111111111111,106.0
170,2006.0,4.0,16.0,2.0,10.82777777777778,106.0
171,2006.0,4.0,16.0,3.0,12.2,106.0
172,2006.0,4.0,16.0,4.0,12.2,106.0
173,2006.0,4.0,16.0,5.0,11.688888888888888,106.0
174,2006.0,4.0,16.0,6.0,11.205555555555556,106.0
175,2006.0,4.0,16.0,7.0,11.133333333333333,106.0
176,2006.0,4.0,16.0,8.0,11.43888888888889,106.0
177,2006.0,4.0,16.0,9.0,13.033333333333337,106.0
178,2006.0,4.0,16.0,10.0,17.244444444444444,106.0
179,2006.0,4.0,16.0,11.0,17.73888888888889,106.0
180,2006.0,4.0,16.0,12.0,17.84444444444445,106.0
181,2006.0,4.0,16.0,13.0,18.86111111111111,106.0
182,2006.0,4.0,16.0,14.0,18.666666666666664,106.0
183,2006.0,4.0,16.0,15.0,17.82222222222222,106.0
184,2006.0,4.0,16.0,16.0,17.800000000000004,106.0
185,2006.0,4.0,16.0,17.0,17.349999999999998,106.0
186,2006.0,4.0,16.0,18.0,16.06666666666667,106.0
187,2006.0,4.0,16.0,19.0,14.933333333333334,106.0
188,2006.0,4.0,16.0,20.0,13.922222222222224,106.0
189,2006.0,4.0,16.0,21.0,12.755555555555556,106.0
190,2006.0,4.0,16.0,22.0,12.755555555555556,106.0
191,2006.0,4.0,16.0,23.0,12.372222222222224,106.0
192,2006.0,4.0,17.0,0.0,11.183333333333334,107.0
193,2006.0,4.0,17.0,1.0,11.666666666666666,107.0
194,2006.0,4.0,17.0,2.0,8.977777777777776,107.0
195,2006.0,4.0,17.0,3.0,10.577777777777776,107.0
196,2006.0,4.0,17.0,4.0,10.533333333333337,107.0
197,2006.0,4.0,17.0,5.0,10.58888888888889,107.0
198,2006.0,4.0,17.0,6.0,9.983333333333333,107.0
199,2006.0,4.0,17.0,7.0,11.022222222222224,107.0
200,2006.0,4.0,17.0,8.0,13.538888888888888,107.0
201,2006.0,4.0,17.0,9.0,13.88888888888889,107.0
202,2006.0,4.0,17.0,10.0,15.0,107.0
203,2006.0,4.0,17.0,11.0,17.183333333333334,107.0
204,2006.0,4.0,17.0,12.0,16.2,107.0
205,2006.0,4.0,17.0,13.0,17.75,107.0
206,2006.0,4.0,17.0,14.0,18.40555555555555,107.0
207,2006.0,4.0,17.0,15.0,17.82222222222222,107.0
208,2006.0,4.0,17.0,16.0,17.31111111111111,107.0
209,2006.0,4.0,17.0,17.0,17.505555555555553,107.0
210,2006.0,4.0,17.0,18.0,17.266666666666666,107.0
211,2006.0,4.0,17.0,19.0,15.13888888888889,107.0
212,2006.0,4.0,17.0,20.0,13.25,107.0
213,2006.0,4.0,17.0,21.0,12.294444444444444,107.0
214,2006.0,4.0,17.0,22.0,10.699999999999998,107.0
215,2006.0,4.0,17.0,23.0,9.855555555555558,107.0
216,2006.0,4.0,18.0,0.0,9.522222222222222,108.0
217,2006.0,4.0,18.0,1.0,8.405555555555557,108.0
218,2006.0,4.0,18.0,2.0,13.011111111111113,108.0
219,2006.0,4.0,18.0,3.0,7.733333333333334,108.0
220,2006.0,4.0,18.0,4.0,6.138888888888888,108.0
221,2006.0,4.0,18.0,5.0,6.472222222222221,108.0
222,2006.0,4.0,18.0,6.0,6.627777777777777,108.0
223,2006.0,4.0,18.0,7.0,8.68888888888889,108.0
224,2006.0,4.0,18.0,8.0,11.994444444444447,108.0
225,2006.0,4.0,18.0,9.0,13.766666666666667,108.0
226,2006.0,4.0,18.0,10.0,15.088888888888889,108.0
227,2006.0,4.0,18.0,11.0,16.455555555555556,108.0
228,2006.0,4.0,18.0,12.0,17.31111111111111,108.0
229,2006.0,4.0,18.0,13.0,17.872222222222224,108.0
230,2006.0,4.0,18.0,14.0,19.038888888888884,108.0
231,2006.0,4.0,18.0,15.0,18.97777777777777,108.0
232,2006.0,4.0,18.0,16.0,19.00555555555555,108.0
233,2006.0,4.0,18.0,17.0,19.01111111111111,108.0
234,2006.0,4.0,18.0,18.0,17.866666666666664,108.0
235,2006.0,4.0,18.0,19.0,17.266666666666666,108.0
236,2006.0,4.0,18.0,20.0,16.188888888888886,108.0
237,2006.0,4.0,18.0,21.0,14.883333333333333,108.0
238,2006.0,4.0,18.0,22.0,14.327777777777776,108.0
239,2006.0,4.0,18.0,23.0,14.511111111111113,108.0
240,2006.0,4.0,19.0,0.0,14.372222222222222,109.0
241,2006.0,4.0,19.0,1.0,14.877777777777778,109.0
242,2006.0,4.0,19.0,2.0,10.405555555555551,109.0
243,2006.0,4.0,19.0,3.0,12.82222222222222,109.0
244,2006.0,4.0,19.0,4.0,12.8,109.0
245,2006.0,4.0,19.0,5.0,12.82777777777778,109.0
246,2006.0,4.0,19.0,6.0,12.266666666666666,109.0
247,2006.0,4.0,19.0,7.0,12.266666666666666,109.0
248,2006.0,4.0,19.0,8.0,12.183333333333334,109.0
249,2006.0,4.0,19.0,9.0,12.17222222222222,109.0
250,2006.0,4.0,19.0,10.0,12.711111111111112,109.0
251,2006.0,4.0,19.0,11.0,15.605555555555558,109.0
252,2006.0,4.0,19.0,12.0,16.022222222222226,109.0
253,2006.0,4.0,19.0,13.0,17.200000000000003,109.0
254,2006.0,4.0,19.0,14.0,17.21666666666667,109.0
255,2006.0,4.0,19.0,15.0,17.82777777777778,109.0
256,2006.0,4.0,19.0,16.0,17.82777777777778,109.0
257,2006.0,4.0,19.0,17.0,17.733333333333334,109.0
258,2006.0,4.0,19.0,18.0,16.272222222222222,109.0
259,2006.0,4.0,19.0,19.0,13.166666666666668,109.0
260,2006.0,4.0,19.0,20.0,13.255555555555556,109.0
261,2006.0,4.0,19.0,21.0,13.011111111111113,109.0
262,2006.0,4.0,19.0,22.0,12.455555555555556,109.0
263,2006.0,4.0,19.0,23.0,12.488888888888887,109.0
264,2006.0,4.0,2.0,0.0,9.555555555555555,92.0
265,2006.0,4.0,2.0,1.0,10.622222222222222,92.0
266,2006.0,4.0,2.0,2.0,8.722222222222223,92.0
267,2006.0,4.0,2.0,3.0,10.533333333333337,92.0
268,2006.0,4.0,2.0,4.0,9.444444444444445,92.0
269,2006.0,4.0,2.0,5.0,9.888888888888888,92.0
270,2006.0,4.0,2.0,6.0,10.366666666666664,92.0
271,2006.0,4.0,2.0,7.0,8.88888888888889,92.0
272,2006.0,4.0,2.0,8.0,9.97777777777778,92.0
273,2006.0,4.0,2.0,9.0,12.2,92.0
274,2006.0,4.0,2.0,10.0,13.961111111111112,92.0
275,2006.0,4.0,2.0,11.0,14.944444444444445,92.0
276,2006.0,4.0,2.0,12.0,16.183333333333334,92.0
277,2006.0,4.0,2.0,13.0,16.366666666666667,92.0
278,2006.0,4.0,2.0,14.0,17.372222222222224,92.0
279,2006.0,4.0,2.0,15.0,17.672222222222224,92.0
280,2006.0,4.0,2.0,16.0,17.72222222222222,92.0
281,2006.0,4.0,2.0,17.0,16.238888888888887,92.0
282,2006.0,4.0,2.0,18.0,14.066666666666666,92.0
283,2006.0,4.0,2.0,19.0,13.955555555555556,92.0
284,2006.0,4.0,2.0,20.0,12.288888888888888,92.0
285,2006.0,4.0,2.0,21.0,10.02222222222222,92.0
286,2006.0,4.0,2.0,22.0,9.377777777777778,92.0
287,2006.0,4.0,2.0,23.0,9.416666666666668,92.0
288,2006.0,4.0,20.0,0.0,11.827777777777776,110.0
289,2006.0,4.0,20.0,1.0,10.761111111111113,110.0
290,2006.0,4.0,20.0,2.0,12.155555555555557,110.0
291,2006.0,4.0,20.0,3.0,9.67222222222222,110.0
292,2006.0,4.0,20.0,4.0,8.15,110.0
293,2006.0,4.0,20.0,5.0,10.2,110.0
294,2006.0,4.0,20.0,6.0,10.116666666666667,110.0
295,2006.0,4.0,20.0,7.0,10.16111111111111,110.0
296,2006.0,4.0,20.0,8.0,11.244444444444447,110.0
297,2006.0,4.0,20.0,9.0,12.244444444444444,110.0
298,2006.0,4.0,20.0,10.0,13.91111111111111,110.0
299,2006.0,4.0,20.0,11.0,15.616666666666667,110.0
300,2006.0,4.0,20.0,12.0,15.072222222222225,110.0
301,2006.0,4.0,20.0,13.0,15.072222222222225,110.0
302,2006.0,4.0,20.0,14.0,14.266666666666667,110.0
303,2006.0,4.0,20.0,15.0,16.016666666666666,110.0
304,2006.0,4.0,20.0,16.0,15.02777777777778,110.0
305,2006.0,4.0,20.0,17.0,13.944444444444445,110.0
306,2006.0,4.0,20.0,18.0,12.916666666666666,110.0
307,2006.0,4.0,20.0,19.0,12.894444444444446,110.0
308,2006.0,4.0,20.0,20.0,12.4,110.0
309,2006.0,4.0,20.0,21.0,12.266666666666666,110.0
310,2006.0,4.0,20.0,22.0,12.22222222222222,110.0
311,2006.0,4.0,20.0,23.0,11.25,110.0
312,2006.0,4.0,21.0,0.0,11.52777777777778,111.0
313,2006.0,4.0,21.0,1.0,11.538888888888891,111.0
314,2006.0,4.0,21.0,2.0,9.43888888888889,111.0
315,2006.0,4.0,21.0,3.0,11.43888888888889,111.0
316,2006.0,4.0,21.0,4.0,11.394444444444442,111.0
317,2006.0,4.0,21.0,5.0,11.52777777777778,111.0
318,2006.0,4.0,21.0,6.0,11.949999999999998,111.0
319,2006.0,4.0,21.0,7.0,11.97222222222222,111.0
320,2006.0,4.0,21.0,8.0,12.633333333333336,111.0
321,2006.0,4.0,21.0,9.0,12.755555555555556,111.0
322,2006.0,4.0,21.0,10.0,13.844444444444443,111.0
323,2006.0,4.0,21.0,11.0,13.172222222222224,111.0
324,2006.0,4.0,21.0,12.0,15.066666666666666,111.0
325,2006.0,4.0,21.0,13.0,17.244444444444444,111.0
326,2006.0,4.0,21.0,14.0,16.316666666666666,111.0
327,2006.0,4.0,21.0,15.0,17.383333333333333,111.0
328,2006.0,4.0,21.0,16.0,15.272222222222224,111.0
329,2006.0,4.0,21.0,17.0,17.45555555555556,111.0
330,2006.0,4.0,21.0,18.0,16.22222222222222,111.0
331,2006.0,4.0,21.0,19.0,15.083333333333334,111.0
332,2006.0,4.0,21.0,20.0,13.994444444444444,111.0
333,2006.0,4.0,21.0,21.0,12.17222222222222,111.0
334,2006.0,4.0,21.0,22.0,11.08888888888889,111.0
335,2006.0,4.0,21.0,23.0,11.094444444444443,111.0
336,2006.0,4.0,22.0,0.0,9.883333333333333,112.0
337,2006.0,4.0,22.0,1.0,9.355555555555558,112.0
338,2006.0,4.0,22.0,2.0,9.86111111111111,112.0
339,2006.0,4.0,22.0,3.0,8.272222222222222,112.0
340,2006.0,4.0,22.0,4.0,8.866666666666667,112.0
341,2006.0,4.0,22.0,5.0,8.816666666666666,112.0
342,2006.0,4.0,22.0,6.0,7.155555555555556,112.0
343,2006.0,4.0,22.0,7.0,8.850000000000001,112.0
344,2006.0,4.0,22.0,8.0,11.177777777777775,112.0
345,2006.0,4.0,22.0,9.0,12.388888888888888,112.0
346,2006.0,4.0,22.0,10.0,14.144444444444446,112.0
347,2006.0,4.0,22.0,11.0,17.1,112.0
348,2006.0,4.0,22.0,12.0,18.93888888888889,112.0
349,2006.0,4.0,22.0,13.0,17.916666666666668,112.0
350,2006.0,4.0,22.0,14.0,19.98333333333333,112.0
351,2006.0,4.0,22.0,15.0,20.07222222222222,112.0
352,2006.0,4.0,22.0,16.0,20.07222222222222,112.0
353,2006.0,4.0,22.0,17.0,20.083333333333336,112.0
354,2006.0,4.0,22.0,18.0,19.08888888888889,112.0
355,2006.0,4.0,22.0,19.0,17.45,112.0
356,2006.0,4.0,22.0,20.0,15.56666666666667,112.0
357,2006.0,4.0,22.0,21.0,12.494444444444447,112.0
358,2006.0,4.0,22.0,22.0,12.244444444444444,112.0
359,2006.0,4.0,22.0,23.0,11.416666666666664,112.0
360,2006.0,4.0,23.0,0.0,10.555555555555555,113.0
361,2006.0,4.0,23.0,1.0,10.466666666666669,113.0
362,2006.0,4.0,23.0,2.0,10.250000000000002,113.0
363,2006.0,4.0,23.0,3.0,9.355555555555558,113.0
364,2006.0,4.0,23.0,4.0,8.311111111111112,113.0
365,2006.0,4.0,23.0,5.0,8.81111111111111,113.0
366,2006.0,4.0,23.0,6.0,8.733333333333333,113.0
367,2006.0,4.0,23.0,7.0,11.93333333333333,113.0
368,2006.0,4.0,23.0,8.0,14.516666666666667,113.0
369,2006.0,4.0,23.0,9.0,18.73333333333333,113.0
370,2006.0,4.0,23.0,10.0,20.02777777777778,113.0
371,2006.0,4.0,23.0,11.0,21.03888888888889,113.0
372,2006.0,4.0,23.0,12.0,20.738888888888887,113.0
373,2006.0,4.0,23.0,13.0,22.31666666666667,113.0
374,2006.0,4.0,23.0,14.0,22.11111111111111,113.0
375,2006.0,4.0,23.0,15.0,22.73333333333333,113.0
376,2006.0,4.0,23.0,16.0,22.77777777777778,113.0
377,2006.0,4.0,23.0,17.0,21.216666666666665,113.0
378,2006.0,4.0,23.0,18.0,20.18333333333333,113.0
379,2006.0,4.0,23.0,19.0,18.011111111111113,113.0
380,2006.0,4.0,23.0,20.0,17.422222222222224,113.0
381,2006.0,4.0,23.0,21.0,13.961111111111112,113.0
382,2006.0,4.0,23.0,22.0,13.28888888888889,113.0
383,2006.0,4.0,23.0,23.0,12.322222222222225,113.0
384,2006.0,4.0,24.0,0.0,11.116666666666664,114.0
385,2006.0,4.0,24.0,1.0,10.533333333333337,114.0
386,2006.0,4.0,24.0,2.0,12.383333333333333,114.0
387,2006.0,4.0,24.0,3.0,9.86111111111111,114.0
388,2006.0,4.0,24.0,4.0,8.872222222222222,114.0
389,2006.0,4.0,24.0,5.0,8.672222222222222,114.0
390,2006.0,4.0,24.0,6.0,7.688888888888891,114.0
391,2006.0,4.0,24.0,7.0,10.911111111111111,114.0
392,2006.0,4.0,24.0,8.0,14.83888888888889,114.0
393,2006.0,4.0,24.0,9.0,18.8,114.0
394,2006.0,4.0,24.0,10.0,21.094444444444445,114.0
395,2006.0,4.0,24.0,11.0,22.027777777777786,114.0
396,2006.0,4.0,24.0,12.0,22.82777777777778,114.0
397,2006.0,4.0,24.0,13.0,22.916666666666668,114.0
398,2006.0,4.0,24.0,14.0,23.916666666666668,114.0
399,2006.0,4.0,24.0,15.0,23.911111111111115,114.0
400,2006.0,4.0,24.0,16.0,23.93333333333333,114.0
401,2006.0,4.0,24.0,17.0,23.916666666666668,114.0
402,2006.0,4.0,24.0,18.0,22.82222222222222,114.0
403,2006.0,4.0,24.0,19.0,21.22777777777777,114.0
404,2006.0,4.0,24.0,20.0,19.07777777777778,114.0
405,2006.0,4.0,24.0,21.0,17.061111111111114,114.0
406,2006.0,4.0,24.0,22.0,14.905555555555551,114.0
407,2006.0,4.0,24.0,23.0,13.083333333333332,114.0
408,2006.0,4.0,25.0,0.0,12.711111111111112,115.0
409,2006.0,4.0,25.0,1.0,12.127777777777776,115.0
410,2006.0,4.0,25.0,2.0,11.81111111111111,115.0
411,2006.0,4.0,25.0,3.0,12.016666666666667,115.0
412,2006.0,4.0,25.0,4.0,12.044444444444444,115.0
413,2006.0,4.0,25.0,5.0,10.627777777777778,115.0
414,2006.0,4.0,25.0,6.0,9.911111111111111,115.0
415,2006.0,4.0,25.0,7.0,12.555555555555555,115.0
416,2006.0,4.0,25.0,8.0,15.005555555555553,115.0
417,2006.0,4.0,25.0,9.0,17.33888888888889,115.0
418,2006.0,4.0,25.0,10.0,19.1,115.0
419,2006.0,4.0,25.0,11.0,21.261111111111106,115.0
420,2006.0,4.0,25.0,12.0,22.41111111111111,115.0
421,2006.0,4.0,25.0,13.0,22.938888888888894,115.0
422,2006.0,4.0,25.0,14.0,23.927777777777774,115.0
423,2006.0,4.0,25.0,15.0,23.96111111111111,115.0
424,2006.0,4.0,25.0,16.0,23.96111111111111,115.0
425,2006.0,4.0,25.0,17.0,23.111111111111107,115.0
426,2006.0,4.0,25.0,18.0,22.82222222222222,115.0
427,2006.0,4.0,25.0,19.0,21.11111111111111,115.0
428,2006.0,4.0,25.0,20.0,18.188888888888886,115.0
429,2006.0,4.0,25.0,21.0,16.016666666666666,115.0
430,2006.0,4.0,25.0,22.0,15.466666666666669,115.0
431,2006.0,4.0,25.0,23.0,14.605555555555554,115.0
432,2006.0,4.0,26.0,0.0,13.311111111111112,116.0
433,2006.0,4.0,26.0,1.0,12.733333333333334,116.0
434,2006.0,4.0,26.0,2.0,13.788888888888888,116.0
435,2006.0,4.0,26.0,3.0,10.577777777777776,116.0
436,2006.0,4.0,26.0,4.0,10.483333333333333,116.0
437,2006.0,4.0,26.0,5.0,10.288888888888891,116.0
438,2006.0,4.0,26.0,6.0,9.972222222222223,116.0
439,2006.0,4.0,26.0,7.0,13.638888888888888,116.0
440,2006.0,4.0,26.0,8.0,16.73888888888889,116.0
441,2006.0,4.0,26.0,9.0,18.83888888888889,116.0
442,2006.0,4.0,26.0,10.0,21.16111111111111,116.0
443,2006.0,4.0,26.0,11.0,22.58888888888889,116.0
444,2006.0,4.0,26.0,12.0,22.89444444444444,116.0
445,2006.0,4.0,26.0,13.0,24.00555555555555,116.0
446,2006.0,4.0,26.0,14.0,24.00555555555555,116.0
447,2006.0,4.0,26.0,15.0,23.97777777777777,116.0
448,2006.0,4.0,26.0,16.0,25.04444444444444,116.0
449,2006.0,4.0,26.0,17.0,24.07777777777778,116.0
450,2006.0,4.0,26.0,18.0,22.38333333333334,116.0
451,2006.0,4.0,26.0,19.0,21.20555555555556,116.0
452,2006.0,4.0,26.0,20.0,18.261111111111116,116.0
453,2006.0,4.0,26.0,21.0,17.200000000000003,116.0
